category,species,genus,introduction
0,蝴蝶蘭,蝴蝶蘭屬,蝴蝶蘭是台灣的原生蘭花，其美麗的外表也帶來嚴重的人為採集，在台灣紅皮書內被列為極危等級。過去，蝴蝶蘭被歸類為Phalaenopsis amabilis，由於種名amabilis的前兩音節唸起來像「阿嬤」，故有「台灣阿嬤」之別稱。
1,蝴蝶蘭,蝴蝶蘭屬,蝴蝶蘭是台灣的原生蘭花，其美麗的外表也帶來嚴重的人為採集，在台灣紅皮書內被列為極危等級。過去，蝴蝶蘭被歸類為Phalaenopsis amabilis，由於種名amabilis的前兩音節唸起來像「阿嬤」，故有「台灣阿嬤」之別稱。
2,蝴蝶蘭,蝴蝶蘭屬,蝴蝶蘭是台灣的原生蘭花，其美麗的外表也帶來嚴重的人為採集，在台灣紅皮書內被列為極危等級。過去，蝴蝶蘭被歸類為Phalaenopsis amabilis，由於種名amabilis的前兩音節唸起來像「阿嬤」，故有「台灣阿嬤」之別稱。
3,X,,
4,台灣鈴蘭,火燒蘭屬,臺灣鈴蘭是最有可能在城市中發現的歐洲蘭花之一。在威斯康星州列為具有入侵性的雜草。此植物是中國最古老的花卉之一，寓意和象徵著生活中的美好事物。
5,竹葉蘭,竹葉蘭屬,通常我們可以在陽光充足的草原或田野上發現竹葉蘭的蹤影。它們常常會跟禾草長在一起，容易被誤認為是禾本科草類（Poaceae）。也因為其葉子像是竹葉，才得到了「竹葉蘭」一名。
6,蝴蝶蘭,蝴蝶蘭屬,蝴蝶蘭是台灣的原生蘭花，其美麗的外表也帶來嚴重的人為採集，在台灣紅皮書內被列為極危等級。過去，蝴蝶蘭被歸類為Phalaenopsis amabilis，由於種名amabilis的前兩音節唸起來像「阿嬤」，故有「台灣阿嬤」之別稱。
7,黃穗蘭,穗花蘭屬,黃穗蘭是蘭花科（蘭科）中的一種附生，石生和一些陸地開花植物。它們從東南亞到新幾內亞。但是大多數物種都在婆羅洲或菲律賓發現。該屬產生微型的，芬芳的，星形的花，通常在直立或拱形的吊墜上開兩花，開許多花的總狀花序。莖卵球形到圓柱形，條紋，銳減的假鱗莖，基部具綠色到棕色片。每片帶有一或兩片堅硬，直立和披針形的葉子，葉柄狹窄。
8,蝴蝶蘭,蝴蝶蘭屬,蝴蝶蘭是台灣的原生蘭花，其美麗的外表也帶來嚴重的人為採集，在台灣紅皮書內被列為極危等級。過去，蝴蝶蘭被歸類為Phalaenopsis amabilis，由於種名amabilis的前兩音節唸起來像「阿嬤」，故有「台灣阿嬤」之別稱。
9,Prasophyllum colensoi,Prasophyllum,它只有一個管狀的深綠色葉子，並有多達二十種帶香味的黃綠色至紅棕色花。 Prasophyllum colensoi是一種陸生，多年生，落葉的草本植物，地下有塊莖，單根深綠色，管狀葉片，長5-10，寬0.08-0.2，基部發白。葉子的自由部分長3–5 。五到二十朵輕度香氣的花朵長成1-5朵長的花穗。花為黃綠色至紅褐色，長0.39–0.43 。
10,X,,
11,蝴蝶蘭,蝴蝶蘭屬,蝴蝶蘭是台灣的原生蘭花，其美麗的外表也帶來嚴重的人為採集，在台灣紅皮書內被列為極危等級。過去，蝴蝶蘭被歸類為Phalaenopsis amabilis，由於種名amabilis的前兩音節唸起來像「阿嬤」，故有「台灣阿嬤」之別稱。
12,白拉索蘭,白拉索蘭屬,白拉索蘭生命力強，以濃郁的香氣而聞名，這種特別的香氣類似柑橘和梔子花般，主要是在夜晚散發出來，用來吸引夜間授粉的飛蛾。
13,蝴蝶蘭,蝴蝶蘭屬,蝴蝶蘭是台灣的原生蘭花，其美麗的外表也帶來嚴重的人為採集，在台灣紅皮書內被列為極危等級。過去，蝴蝶蘭被歸類為Phalaenopsis amabilis，由於種名amabilis的前兩音節唸起來像「阿嬤」，故有「台灣阿嬤」之別稱。
14,蝴蝶蘭,蝴蝶蘭屬,蝴蝶蘭是台灣的原生蘭花，其美麗的外表也帶來嚴重的人為採集，在台灣紅皮書內被列為極危等級。過去，蝴蝶蘭被歸類為Phalaenopsis amabilis，由於種名amabilis的前兩音節唸起來像「阿嬤」，故有「台灣阿嬤」之別稱。
15,X,,
16,蝴蝶蘭,蝴蝶蘭屬,蝴蝶蘭是台灣的原生蘭花，其美麗的外表也帶來嚴重的人為採集，在台灣紅皮書內被列為極危等級。過去，蝴蝶蘭被歸類為Phalaenopsis amabilis，由於種名amabilis的前兩音節唸起來像「阿嬤」，故有「台灣阿嬤」之別稱。
17,蝴蝶蘭,蝴蝶蘭屬,蝴蝶蘭是台灣的原生蘭花，其美麗的外表也帶來嚴重的人為採集，在台灣紅皮書內被列為極危等級。過去，蝴蝶蘭被歸類為Phalaenopsis amabilis，由於種名amabilis的前兩音節唸起來像「阿嬤」，故有「台灣阿嬤」之別稱。
18,蝴蝶蘭,蝴蝶蘭屬,蝴蝶蘭是台灣的原生蘭花，其美麗的外表也帶來嚴重的人為採集，在台灣紅皮書內被列為極危等級。過去，蝴蝶蘭被歸類為Phalaenopsis amabilis，由於種名amabilis的前兩音節唸起來像「阿嬤」，故有「台灣阿嬤」之別稱。
19,蝴蝶蘭,蝴蝶蘭屬,蝴蝶蘭是台灣的原生蘭花，其美麗的外表也帶來嚴重的人為採集，在台灣紅皮書內被列為極危等級。過去，蝴蝶蘭被歸類為Phalaenopsis amabilis，由於種名amabilis的前兩音節唸起來像「阿嬤」，故有「台灣阿嬤」之別稱。
20,蝴蝶蘭,蝴蝶蘭屬,蝴蝶蘭是台灣的原生蘭花，其美麗的外表也帶來嚴重的人為採集，在台灣紅皮書內被列為極危等級。過去，蝴蝶蘭被歸類為Phalaenopsis amabilis，由於種名amabilis的前兩音節唸起來像「阿嬤」，故有「台灣阿嬤」之別稱。
21,蝴蝶蘭,蝴蝶蘭屬,蝴蝶蘭是台灣的原生蘭花，其美麗的外表也帶來嚴重的人為採集，在台灣紅皮書內被列為極危等級。過去，蝴蝶蘭被歸類為Phalaenopsis amabilis，由於種名amabilis的前兩音節唸起來像「阿嬤」，故有「台灣阿嬤」之別稱。
22,蝴蝶蘭,蝴蝶蘭屬,蝴蝶蘭是台灣的原生蘭花，其美麗的外表也帶來嚴重的人為採集，在台灣紅皮書內被列為極危等級。過去，蝴蝶蘭被歸類為Phalaenopsis amabilis，由於種名amabilis的前兩音節唸起來像「阿嬤」，故有「台灣阿嬤」之別稱。
23,X,,
24,南洋白花蝴蝶蘭,蝴蝶蘭屬,此種植物俗稱「台灣阿嬤」，因其種小名前面兩個音節為阿嬤的諧音，也有一說是因為台灣阿嬤和南洋白花蝴蝶蘭同樣堅毅純潔。日本人在升官和婚禮時都喜歡贈送南洋白花蝴蝶蘭，有著高風亮節和高貴的涵義。
25,南洋白花蝴蝶蘭,蝴蝶蘭屬,此種植物俗稱「台灣阿嬤」，因其種小名前面兩個音節為阿嬤的諧音，也有一說是因為台灣阿嬤和南洋白花蝴蝶蘭同樣堅毅純潔。日本人在升官和婚禮時都喜歡贈送南洋白花蝴蝶蘭，有著高風亮節和高貴的涵義。
26,台灣鈴蘭,火燒蘭屬,臺灣鈴蘭是最有可能在城市中發現的歐洲蘭花之一。在威斯康星州列為具有入侵性的雜草。此植物是中國最古老的花卉之一，寓意布袋蘭通常在接近夏季時開花，憑藉鮮豔的顏色和甜美的香味來吸引傳粉者為它們授粉，但其實並不產蜜。該植物的壽命較短，很容易受到干擾，並對特定土壤真菌具有依賴性而難以移植，因此被某些地區列為受威脅物種。和象徵著生活中的美好事物。
27,布袋蘭,布袋蘭屬,布袋蘭通常在接近夏季時開花，憑藉鮮豔的顏色和甜美的香味來吸引傳粉者為它們授粉，但其實並不產蜜。該植物的壽命較短，很容易受到干擾，並對特定土壤真菌具有依賴性而難以移植，因此被某些地區列為受威脅物種。
28,布袋蘭,布袋蘭屬,布袋蘭通常在接近夏季時開花，憑藉鮮豔的顏色和甜美的香味來吸引傳粉者為它們授粉，但其實並不產蜜。該植物的壽命較短，很容易受到干擾，並對特定土壤真菌具有依賴性而難以移植，因此被某些地區列為受威脅物種。
29,布袋蘭,布袋蘭屬,布袋蘭通常在接近夏季時開花，憑藉鮮豔的顏色和甜美的香味來吸引傳粉者為它們授粉，但其實並不產蜜。該植物的壽命較短，很容易受到干擾，並對特定土壤真菌具有依賴性而難以移植，因此被某些地區列為受威脅物種。
30,Corallorhiza maculata,珊瑚蘭屬,Corallorhiza maculata的根莖和下部莖通常打結成分支的珊瑚形狀。莖通常為紅色或棕色，但偶爾為淺黃色或乳白色。莖具深紅色鱗片和復雜的蘭花花。萼片為深紅色或棕色，帶有紫色，長而尖的。側花瓣帶紅色，唇瓣明亮，潔白，有深紅色斑點。
31,章魚蘭,章魚蘭屬,章魚蘭是中美洲國家貝里斯的國花。因花朵盛開時很像章魚，被稱為「章魚蘭」。花朵能抵抗大部分害蟲。假鱗莖是蘭科植物用來貯藏水和養分的器官，可用於製作黏著劑。
32,蝴蝶蘭,蝴蝶蘭屬,蝴蝶蘭是台灣的原生蘭花，其美麗的外表也帶來嚴重的人為採集，在台灣紅皮書內被列為極危等級。過去，蝴蝶蘭被歸類為Phalaenopsis amabilis，由於種名amabilis的前兩音節唸起來像「阿嬤」，故有「台灣阿嬤」之別稱。
33,蝴蝶蘭,蝴蝶蘭屬,蝴蝶蘭是台灣的原生蘭花，其美麗的外表也帶來嚴重的人為採集，在台灣紅皮書內被列為極危等級。過去，蝴蝶蘭被歸類為Phalaenopsis amabilis，由於種名amabilis的前兩音節唸起來像「阿嬤」，故有「台灣阿嬤」之別稱。
34,蝴蝶蘭,蝴蝶蘭屬,蝴蝶蘭是台灣的原生蘭花，其美麗的外表也帶來嚴重的人為採集，在台灣紅皮書內被列為極危等級。過去，蝴蝶蘭被歸類為Phalaenopsis amabilis，由於種名amabilis的前兩音節唸起來像「阿嬤」，故有「台灣阿嬤」之別稱。
35,蝴蝶蘭,蝴蝶蘭屬,蝴蝶蘭是台灣的原生蘭花，其美麗的外表也帶來嚴重的人為採集，在台灣紅皮書內被列為極危等級。過去，蝴蝶蘭被歸類為Phalaenopsis amabilis，由於種名amabilis的前兩音節唸起來像「阿嬤」，故有「台灣阿嬤」之別稱。
36,蝴蝶蘭,蝴蝶蘭屬,蝴蝶蘭是台灣的原生蘭花，其美麗的外表也帶來嚴重的人為採集，在台灣紅皮書內被列為極危等級。過去，蝴蝶蘭被歸類為Phalaenopsis amabilis，由於種名amabilis的前兩音節唸起來像「阿嬤」，故有「台灣阿嬤」之別稱。
37,蝴蝶蘭,蝴蝶蘭屬,蝴蝶蘭是台灣的原生蘭花，其美麗的外表也帶來嚴重的人為採集，在台灣紅皮書內被列為極危等級。過去，蝴蝶蘭被歸類為Phalaenopsis amabilis，由於種名amabilis的前兩音節唸起來像「阿嬤」，故有「台灣阿嬤」之別稱。
38,蝴蝶蘭,蝴蝶蘭屬,蝴蝶蘭是台灣的原生蘭花，其美麗的外表也帶來嚴重的人為採集，在台灣紅皮書內被列為極危等級。過去，蝴蝶蘭被歸類為Phalaenopsis amabilis，由於種名amabilis的前兩音節唸起來像「阿嬤」，故有「台灣阿嬤」之別稱。
39,X,,
40,蝴蝶蘭,蝴蝶蘭屬,蝴蝶蘭是台灣的原生蘭花，其美麗的外表也帶來嚴重的人為採集，在台灣紅皮書內被列為極危等級。過去，蝴蝶蘭被歸類為Phalaenopsis amabilis，由於種名amabilis的前兩音節唸起來像「阿嬤」，故有「台灣阿嬤」之別稱。
41,蝴蝶蘭,蝴蝶蘭屬,蝴蝶蘭是台灣的原生蘭花，其美麗的外表也帶來嚴重的人為採集，在台灣紅皮書內被列為極危等級。過去，蝴蝶蘭被歸類為Phalaenopsis amabilis，由於種名amabilis的前兩音節唸起來像「阿嬤」，故有「台灣阿嬤」之別稱。
42,X,,
43,大花羊耳蒜,羊耳蘭屬,不同於多數的蘭花需要悉心照顧，大花羊耳蒜在野外適應力很好，周遭環境惡劣時，會等待適合生長的時機再趁機大放異彩，整株深紫色的花散發一種低調優雅的感覺。
44,長葉頭蕊蘭,頭蕊蘭屬,一種蘭花科，可伸展多個直立的無毛莖。深綠色的長葉片向尖端逐漸變細。花以對角線的形式向上懸掛，並有5至20個螺旋形，形成柔和的穗狀花序。你呢果實是果實（前景：內部為多個房間的膠囊狀乾果），細小種子如粉末被風吹散。
45,蝴蝶蘭,蝴蝶蘭屬,蝴蝶蘭是台灣的原生蘭花，其美麗的外表也帶來嚴重的人為採集，在台灣紅皮書內被列為極危等級。過去，蝴蝶蘭被歸類為Phalaenopsis amabilis，由於種名amabilis的前兩音節唸起來像「阿嬤」，故有「台灣阿嬤」之別稱。
46,蝴蝶蘭,蝴蝶蘭屬,蝴蝶蘭是台灣的原生蘭花，其美麗的外表也帶來嚴重的人為採集，在台灣紅皮書內被列為極危等級。過去，蝴蝶蘭被歸類為Phalaenopsis amabilis，由於種名amabilis的前兩音節唸起來像「阿嬤」，故有「台灣阿嬤」之別稱。
47,蝴蝶蘭,蝴蝶蘭屬,蝴蝶蘭是台灣的原生蘭花，其美麗的外表也帶來嚴重的人為採集，在台灣紅皮書內被列為極危等級。過去，蝴蝶蘭被歸類為Phalaenopsis amabilis，由於種名amabilis的前兩音節唸起來像「阿嬤」，故有「台灣阿嬤」之別稱。
48,台灣鈴蘭,火燒蘭屬,臺灣鈴蘭是最有可能在城市中發現的歐洲蘭花之一。在威斯康星州列為具有入侵性的雜草。此植物是中國最古老的花卉之一，寓意布袋蘭通常在接近夏季時開花，憑藉鮮豔的顏色和甜美的香味來吸引傳粉者為它們授粉，但其實並不產蜜。該植物的壽命較短，很容易受到干擾，並對特定土壤真菌具有依賴性而難以移植，因此被某些地區列為受威脅物種。和象徵著生活中的美好事物。
49,天麻,天麻屬,台灣人很常用天麻當作食補食材，和雞肉一起熬煮成雞湯是最常見的料理方式。天麻沒有根、也沒綠葉，本身不含葉綠素，所以無法進行光合作用，它一生都必須依靠其他真菌獲得養分。
50,蝴蝶蘭,蝴蝶蘭屬,蝴蝶蘭是台灣的原生蘭花，其美麗的外表也帶來嚴重的人為採集，在台灣紅皮書內被列為極危等級。過去，蝴蝶蘭被歸類為Phalaenopsis amabilis，由於種名amabilis的前兩音節唸起來像「阿嬤」，故有「台灣阿嬤」之別稱。
51,單葉軟葉蘭,軟葉蘭屬,小花的單葉是一種不起眼的，持久的草本植物，株高達到10到35厘米。根鱗莖（假鱗莖）扁平且呈綠色。它的特徵是圍繞莖桿的單個，有時兩個基本葉片。
52,蝴蝶蘭,蝴蝶蘭屬,蝴蝶蘭是台灣的原生蘭花，其美麗的外表也帶來嚴重的人為採集，在台灣紅皮書內被列為極危等級。過去，蝴蝶蘭被歸類為Phalaenopsis amabilis，由於種名amabilis的前兩音節唸起來像「阿嬤」，故有「台灣阿嬤」之別稱。
53,蝴蝶蘭,蝴蝶蘭屬,蝴蝶蘭是台灣的原生蘭花，其美麗的外表也帶來嚴重的人為採集，在台灣紅皮書內被列為極危等級。過去，蝴蝶蘭被歸類為Phalaenopsis amabilis，由於種名amabilis的前兩音節唸起來像「阿嬤」，故有「台灣阿嬤」之別稱。
54,Calopogon tuberosus,美鬚蘭屬,刺桐屬植物的特徵是沒有復生的花，在花唇上有鮮豔的頭髮狀凸起。該屬僅發生在美國和加勒比海地區。
55,蝴蝶蘭,蝴蝶蘭屬,蝴蝶蘭是台灣的原生蘭花，其美麗的外表也帶來嚴重的人為採集，在台灣紅皮書內被列為極危等級。過去，蝴蝶蘭被歸類為Phalaenopsis amabilis，由於種名amabilis的前兩音節唸起來像「阿嬤」，故有「台灣阿嬤」之別稱。
56,X,,
57,大明石斛,石斛蘭屬,大明石斛的種小名Speciosum在拉丁文的意思為「美麗的、豔麗的」，用來形容其開花特性，它是很受歡迎的栽培用蘭花。大明石斛通常生長在岩石或懸崖上，它的根會緊密地聚在一起，緊緊抓住岩石，它的特性為根系總是覆蓋著潮濕的蕨類或苔蘚。
58,X,,
59,蝴蝶蘭,蝴蝶蘭屬,蝴蝶蘭是台灣的原生蘭花，其美麗的外表也帶來嚴重的人為採集，在台灣紅皮書內被列為極危等級。過去，蝴蝶蘭被歸類為Phalaenopsis amabilis，由於種名amabilis的前兩音節唸起來像「阿嬤」，故有「台灣阿嬤」之別稱。
60,紫苞舌蘭,苞舌蘭屬,紫苞舌蘭是台灣唯一原生的苞舌蘭屬植物，具有緊湊的假鱗莖，會開出多達四十朵粉紅色至紫紅色的花朵，花期非常長，觀賞性極高。主要的威脅來自愛蘭人士的採集和野豬的破壞。
61,南洋白花蝴蝶蘭,蝴蝶蘭屬,此種植物俗稱「台灣阿嬤」，因其種小名前面兩個音節為阿嬤的諧音，也有一說是因為台灣阿嬤和南洋白花蝴蝶蘭同樣堅毅純潔。日本人在升官和婚禮時都喜歡贈送南洋白花蝴蝶蘭，有著高風亮節和高貴的涵義。
62,蝴蝶蘭,蝴蝶蘭屬,蝴蝶蘭是台灣的原生蘭花，其美麗的外表也帶來嚴重的人為採集，在台灣紅皮書內被列為極危等級。過去，蝴蝶蘭被歸類為Phalaenopsis amabilis，由於種名amabilis的前兩音節唸起來像「阿嬤」，故有「台灣阿嬤」之別稱。
63,蝴蝶蘭,蝴蝶蘭屬,蝴蝶蘭是台灣的原生蘭花，其美麗的外表也帶來嚴重的人為採集，在台灣紅皮書內被列為極危等級。過去，蝴蝶蘭被歸類為Phalaenopsis amabilis，由於種名amabilis的前兩音節唸起來像「阿嬤」，故有「台灣阿嬤」之別稱。
64,X,,
65,Corallorhiza maculata,珊瑚蘭屬,Corallorhiza maculata的根莖和下部莖通常打結成分支的珊瑚形狀。莖通常為紅色或棕色，但偶爾為淺黃色或乳白色。莖具深紅色鱗片和復雜的蘭花花。萼片為深紅色或棕色，帶有紫色，長而尖的。側花瓣帶紅色，唇瓣明亮，潔白，有深紅色斑點。
66,蝴蝶蘭,蝴蝶蘭屬,蝴蝶蘭是台灣的原生蘭花，其美麗的外表也帶來嚴重的人為採集，在台灣紅皮書內被列為極危等級。過去，蝴蝶蘭被歸類為Phalaenopsis amabilis，由於種名amabilis的前兩音節唸起來像「阿嬤」，故有「台灣阿嬤」之別稱。
67,X,,
68,蝴蝶蘭,蝴蝶蘭屬,蝴蝶蘭是台灣的原生蘭花，其美麗的外表也帶來嚴重的人為採集，在台灣紅皮書內被列為極危等級。過去，蝴蝶蘭被歸類為Phalaenopsis amabilis，由於種名amabilis的前兩音節唸起來像「阿嬤」，故有「台灣阿嬤」之別稱。
69,蝴蝶蘭,蝴蝶蘭屬,蝴蝶蘭是台灣的原生蘭花，其美麗的外表也帶來嚴重的人為採集，在台灣紅皮書內被列為極危等級。過去，蝴蝶蘭被歸類為Phalaenopsis amabilis，由於種名amabilis的前兩音節唸起來像「阿嬤」，故有「台灣阿嬤」之別稱。
70,蝴蝶蘭,蝴蝶蘭屬,蝴蝶蘭是台灣的原生蘭花，其美麗的外表也帶來嚴重的人為採集，在台灣紅皮書內被列為極危等級。過去，蝴蝶蘭被歸類為Phalaenopsis amabilis，由於種名amabilis的前兩音節唸起來像「阿嬤」，故有「台灣阿嬤」之別稱。
71,蝴蝶蘭,蝴蝶蘭屬,蝴蝶蘭是台灣的原生蘭花，其美麗的外表也帶來嚴重的人為採集，在台灣紅皮書內被列為極危等級。過去，蝴蝶蘭被歸類為Phalaenopsis amabilis，由於種名amabilis的前兩音節唸起來像「阿嬤」，故有「台灣阿嬤」之別稱。
